;pays;note;poste;légende;numéro
cruyff;PAY;91;attaquant;oui;1/6
van dijk;PAY;88;defenseur;non;2/6
de jong;PAY;84;milieu;non;3/6
depay;PAY;82;attaquant;non;4/6
frimpong;PAY;82;defenseur;non;5/6
simons;PAY;81;milieu;non;6/6
;;;;;
modric;CRO;88;milieu;non;1/4
perisic;CRO;83;attaquant;non;2/4
gvardiol;CRO;82;defenseur;non;3/4
kovacic;CRO;82;milieu;non;4/4
;;;;;
haaland;NOR;86;attaquant;non;1/3
odegaard;NOR;84;milieu;non;2/3
sorloth;NOR;79;attaquant;non;3/3
;;;;;
forlan;URU;89;attaquant;oui;1/5
suarez;URU;86;attaquant;non;2/5
valverde;URU;85;milieu;non;3/5
cavani;URU;85;attaquant;non;4/5
araujo;URU;80;defenseur;non;5/5
;;;;;
james;COL;82;milieu;non;1/3
luis diaz;COL;81;attaquant;non;2/3
cuadrado;COL;80;defenseur;non;3/3
;;;;;
kubo;JAP;79;attaquant;non;1/3
mitoma;JAP;79;attaquant;non;2/3
minamino;JAP;79;attaquant;non;3/3
;;;;;
salah;EGY;88;attaquant;non;1/1
;;;;;
zlatan;SUE;89;attaquant;oui;1/3
gyokeres;SUE;81;attaquant;non;2/3
isak;SUE;81;attaquant;non;3/3
